,id,title,release_date,revenue,runtime,adult,backdrop_path,homepage,overview,popularity,poster_path,tagline,genres,spoken_languages,vote_avg,revenue_category
290,293167,Kong: Skull Island,2017-03-08,566652812,118,False,/jks6QgJjsaDC5iT6bxLsSS0eo6L.jpg,http://kongskullislandmovie.com/,"Explore the mysterious and dangerous home of the king of the apes as a team of explorers ventures deep inside the treacherous, primordial island.",39.514,/r2517Vz9EhDhj88qwbDVj8DCRZN.jpg,All hail the king,"Action, Adventure, Fantasy","English, Vietnamese",good (6-7),good(100014025-1000000000)
291,196,Back to the Future Part III,1990-05-25,244527583,119,False,/vKp3NvqBkcjHkCHSGi6EbcP7g4J.jpg,http://www.backtothefuture.com/movies/backtothefuture3,"The final installment of the Back to the Future trilogy finds Marty digging the trusty DeLorean out of a mineshaft and looking for Doc in the Wild West of 1885. But when their time machine breaks down, the travelers are stranded in a land of spurs. More problems arise when Doc falls for pretty schoolteacher Clara Clayton, and Marty tangles with Buford Tannen.",33.735,/crzoVQnMzIrRfHtQw0tLBirNfVg.jpg,They've saved the best trip for last... But this time they may have gone too far.,"Adventure, Comedy, Science Fiction",English,excellent (7-10),good(100014025-1000000000)
292,41154,Men in Black 3,2012-05-23,624026776,106,False,/5AhpUb8CAP0jZ4Wrn7AsRUYjZxB.jpg,http://www.sonypictures.com/movies/meninblack3/,"Agents J and K are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K to save his partner, the agency, and the future of humankind.",35.497,/90DdoEStzeObs96fsYf4GG544iN.jpg,Back in time.,"Action, Comedy, Science Fiction",English,good (6-7),good(100014025-1000000000)
293,294254,Maze Runner: The Scorch Trials,2015-09-09,312296056,131,False,/4mcOCiR06dqQ5eoEJcG3zvonjOa.jpg,https://www.20thcenturystudios.com/movies/maze-runner-the-scorch-trials,"Thomas and his fellow Gladers face their greatest challenge yet: searching for clues about the mysterious and powerful organization known as WCKD. Their journey takes them to the Scorch, a desolate landscape filled with unimaginable obstacles. Teaming up with resistance fighters, the Gladers take on WCKD’s vastly superior forces and uncover its shocking plans for them all.",42.487,/2TZJ7sZd0thhXHvkPJGoPTtM8Bq.jpg,The Maze Was Just the Beginning.,"Science Fiction, Action, Thriller, Adventure",English,good (6-7),good(100014025-1000000000)
295,495764,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020-02-05,205372791,108,False,/uozb2VeD87YmhoUP1RrGWfzuCrr.jpg,http://www.birdsofpreymovie.net,"Harley Quinn joins forces with a singer, an assassin and a police detective to help a young girl who had a hit placed on her after she stole a rare diamond from a crime lord.",49.33,/h4VB6m0RwcicVEZvzftYZyKXs6K.jpg,Mind Over Mayhem,"Action, Crime",English,good (6-7),good(100014025-1000000000)
296,510,One Flew Over the Cuckoo's Nest,1975-11-19,108981275,133,False,/qUq3QTr2KLvGIcN0GaaaYx9bbyH.jpg,,"A petty criminal fakes insanity to serve his sentence in a mental ward rather than prison. He soon finds himself as a leader to the other patients—and an enemy to the cruel, domineering nurse who runs the ward.",36.673,/3jcbDmRFiQ83drXNOvRDeKHxS0C.jpg,"If he's crazy, what does that make you?",Drama,English,excellent (7-10),good(100014025-1000000000)
297,64688,21 Jump Street,2012-03-14,201585328,109,False,/rXrpYOveFl76ivMmyb2612T7Q8w.jpg,http://www.21jumpstreet-movie.com/,"In high school, Schmidt was a dork and Jenko was the popular jock. After graduation, both of them joined the police force and ended up as partners riding bicycles in the city park. Since they are young and look like high school students, they are assigned to an undercover unit to infiltrate a drug ring that is supplying high school students synthetic drugs.",31.405,/8v3Sqv9UcIUC4ebmpKWROqPBINZ.jpg,The only thing getting blown tonight is their cover.,"Action, Comedy, Crime",English,good (6-7),good(100014025-1000000000)
301,787,Mr. & Mrs. Smith,2005-06-07,487287646,120,False,/iFaWUETEE2umP1WY0LUAmjSpzm7.jpg,,"After five (or six) years of vanilla-wedded bliss, ordinary suburbanites John and Jane Smith are stuck in a huge rut. Unbeknownst to each other, they are both coolly lethal, highly-paid assassins working for rival organisations. When they discover they're each other's next target, their secret lives collide in a spicy, explosive mix of wicked comedy, pent-up passion, nonstop action and high-tech weaponry.",32.545,/wzIO3ytxeSNt1wRpXLIdkNbGoDm.jpg,Smart and sexy,"Action, Comedy, Drama, Thriller","English, Spanish",good (6-7),good(100014025-1000000000)
302,343668,Kingsman: The Golden Circle,2017-09-20,410902662,141,False,/eVHVwP71el20fofkCHo78ebQv7Q.jpg,http://www.foxmovies.com/movies/kingsman-the-golden-circle,"When an attack on the Kingsman headquarters takes place and a new villain rises, Eggsy and Merlin are forced to work together with the American agency known as the Statesman to save the world.",47.359,/34xBL6BXNYFqtHO9zhcgoakS4aP.jpg,Reports of my death have been greatly exaggerated.,"Action, Adventure, Comedy","Swedish, English, Italian",good (6-7),good(100014025-1000000000)
303,578,Jaws,1975-06-20,470653000,124,False,/xgU3KkqiME9pGe5gGCNpUYkoSWg.jpg,https://www.uphe.com/movies/jaws,"When an insatiable great white shark terrorizes the townspeople of Amity Island, the police chief, an oceanographer and a grizzled shark hunter seek to destroy the blood-thirsty beast.",34.492,/lxM6kqilAdpdhqUl2biYp5frUxE.jpg,The terrifying motion picture from the terrifying No.1 best seller.,"Horror, Thriller, Adventure",English,excellent (7-10),good(100014025-1000000000)
